row_number,source,author,title,description,url,category,coverage
292,ABC News,Max Zahn,What could Trump do to lower grocery prices? Experts weigh in,Food prices have climbed more than 25% since President Joe Biden took office.,https://abcnews.go.com/Business/trump-lower-grocery-prices-experts-weigh/story?id=115855901,Policy and Governance,Neutral
298,Al Jazeera English,John Power,Inflation versus wages: Trump’s stunning comeback explained in two charts,The rise in prices under the Biden administration proved fatal for Kamala Harris's election hopes.,https://www.aljazeera.com/economy/2024/11/7/inflation-versus-wages-trumps-stunning-comeback-explained-in-two-charts,Policy and Governance,Negative
299,Time,Rebecca Schneid,What Trump’s Win Could Mean for Housing,"From mass deportation to construction on federal land, here's how Trump's proposed plans could affect housing in America.",https://time.com/7176549/what-donald-trump-win-could-mean-for-housing/,Policy and Governance,Neutral
300,Business Insider,Eliza Relman,JD Vance says pumping more oil will make housing cheaper. Economists say that's a stretch.,"Economists say when it comes to home building, looser rules, cheaper building materials, and more workers are more important than energy costs.",https://www.businessinsider.com/jd-vance-drilling-oil-housing-rent-home-prices-construction-2024-10,Policy and Governance,Neutral
307,Business Insider,Dan DeFrancesco,"Startups are ready to thrive under Trump, but some uncertainty remains in a key corner of the space","Trump's deregulation could boost tech, but his stance on AI and immigration leaves the future uncertain, especially for skilled workers.",https://www.businessinsider.com/trump-president-silicon-valley-excited-deregulation-start-ups-immigration-uncertainty-2024-11,Policy and Governance,Negative
317,ABC News,Stephanie Armour | KFF Health News,Why the election outcome could bring big changes to Medicare,Democrats and conservatives are divided over whether the federal health program for people over 65 should be run almost entirely by the private sector.,https://abcnews.go.com/Health/election-outcome-bring-big-medicare-experts/story?id=115398631,Policy and Governance,Neutral
330,Business Insider,"Grace Eliza Goodwin,Geoff Weiss,Dominick Reuter","What's next for tech giants like Google, Apple, and Microsoft now that Trump has won","Trump is likely to strip away AI regulations, but also target the key H1-B visas the tech industry relies on, experts said.",https://www.businessinsider.com/donald-trump-presidency-affect-big-tech-2024-11,Policy and Governance,Neutral
336,ABC News,Sarah Beth Hensley,What GOP control of House and Senate could mean for a Trump presidency,A Republican-controlled Congress and former President Donald Trump back in the White House will have long implications for the country.,https://abcnews.go.com/Politics/gop-congressional-majority-trump-presidency/story?id=115548853,Policy and Governance,Neutral
341,ABC News,Mary Kekatos,"Despite ACA, abortion concerns, health care was not a voting issue, experts say","Despite concerns about the future of the Affordable Care Act and abortion rights, health care was not a major voting issue in this election, experts tell ABC News.",https://abcnews.go.com/Politics/despite-concerns-aca-reproductive-rights-health-care-voting/story?id=115602148,Policy and Governance,Negative
349,ABC News,Stephanie Armour | KFF Health News,Presidential election puts Affordable Care Act back in the bull's-eye,The outcome of the upcoming presidential election could affect the number of insured Americans and the cost of coverage for tens of millions of people,https://abcnews.go.com/Health/presidential-election-puts-affordable-care-act-back-bulls/story?id=115105802,Policy and Governance,Neutral
373,ABC News,"Jonathan Karl, Rachel Scott, Katherine Faulders, Luke Barr, Soo Rin Kim",Trump picks Kristi Noem to be Homeland Security secretary,Former President Donald Trump has tapped South Dakota Gov. Kristi Noem to be his Homeland Security secretary.,https://abcnews.go.com/Politics/trump-expected-tap-kristi-noem-homeland-security-secretary/story?id=115772453,Policy and Governance,Neutral
374,ABC News,"FATIMA HUSSEIN Associated Press, MATTHEW DALY Associated Press, COLLIN BINKLEY Associated Press",The last actions the Biden administration will take before Trump takes over,Biden administration officials are working against the clock doling out billions in grants and taking other steps to try to preserve at least some of the outgoing president’s legacy before President-elect Donald Trump takes office in January,https://abcnews.go.com/Politics/wireStory/actions-biden-administration-trump-takes-white-house-115889872,Policy and Governance,Neutral
404,Al Jazeera English,Al Jazeera,Harris says will end Gaza war in final election appeal to Arab Americans,"Harris risks losing support of Michigan's 200,000-strong Arab Americans, who denounce the US handling of Israel's war.",https://www.aljazeera.com/news/2024/11/4/harris-says-will-end-gaza-war-in-final-election-appeal-to-arab-americans,Policy and Governance,Negative
416,Business Insider,"Melia Russell,Rebecca Torrence",'The million-dollar question of this election': Women's health startups are confronting a shifting legal landscape,"Startups offering medication abortions, contraception, and period-tracking apps are preparing for the risks of another Trump presidency.",https://www.businessinsider.com/womens-health-startups-risk-trump-wins-election-2024-10,Policy and Governance,Neutral
421,Business Insider,Madison Hoff,The economy is a priority for Americans as they head to the polls. Here's what's really going on behind the numbers.,"As people get ready to vote, here's what's been going on with job growth, federal debt, and other economic measures.",https://www.businessinsider.com/what-is-going-on-with-economy-jobs-inflation-election-voting-2024-10,Policy and Governance,Neutral
424,ABC News,COLLIN BINKLEY AP education writer,"Biden tries again at student loan cancellation, for those in financial hardship","The Biden administration is moving ahead with a new path to student loan cancellation for Americans who face steep medical bills, child care costs and other types of financial hardship that prevent them from repaying their loans",https://abcnews.go.com/US/wireStory/biden-student-loan-cancellation-time-financial-hardships-115136830,Policy and Governance,Negative
432,ABC News,"Katherine Faulders, Rachel Scott, John Santucci","Tracking who Trump has named to serve in his Cabinet, administration",President-elect Donald Trump is rolling out names for top jobs in his administration.,https://abcnews.go.com/Politics/tracking-trump-named-serve-cabinet-administration/story?id=115777302,Policy and Governance,Neutral
437,USA Today,"George Fabe Russell, USA TODAY NETWORK",Former Kamala Harris aide says Joe Biden should resign so she can serve as 47th president,"Former Harris communications director Jamal Simmons said on CNN that Joe Biden could step down, allowing Kamala Harris to serve as the 47th president.",https://www.usatoday.com/story/news/politics/elections/2024/11/10/jamal-simmons-joe-biden-kamala-harris/76182658007/,Policy and Governance,Positive
443,Al Jazeera English,Ali Harb,Why many Arab voters in Michigan are flocking to Trump ahead of US election,Former president is gaining support in Arab community amid anger with Harris over Israel's war on Gaza and Lebanon.,https://www.aljazeera.com/news/2024/11/2/why-many-arab-voters-in-michigan-are-flocking-to-trump-ahead-of-us-election,Policy and Governance,Negative
446,Time,Jamie Ducharme,What Donald Trump’s Win Could Mean for Vaccines,Vaccine skeptic Robert F. Kennedy Jr. may help shape health policy in the Trump Administration. What does that mean for vaccine policy?,https://time.com/7173744/donald-trump-vaccines/,Policy and Governance,Neutral
451,ABC News,Monica Potts,"In 2024, abortion rights initiatives are on the ballot in 10 states","Most would restore pre-Dobbs protections, but some advocates want to go further.",https://abcnews.go.com/538/2024-abortion-rights-initiatives-ballot-10-states/story?id=115218498,Policy and Governance,Neutral
458,Time,Jeffrey Kluger,Here’s What Trump’s Win Means for NASA,Trump's first-term expansion in space will likely increase during his second presidency.,https://time.com/7175977/what-trump-presidency-means-for-nasa/,Policy and Governance,Neutral
470,Al Jazeera English,Al Jazeera Staff,US election 2024: What are Harris and Trump’s positions on the key issues?,"Here are the presidential candidates' positions on the economy, immigration, foreign policy and more.",https://www.aljazeera.com/news/2024/11/4/us-election-2024-what-are-harris-and-trumps-positions-on-the-key-issues,Policy and Governance,Neutral
476,Business Insider,"allisonkelly@businessinsider.com (Allie Kelly,John L. Dorman)",How the cost of housing is expected to change under Trump or Harris,"BI looked at how Harris and Trump's housing policies will affect supply, first-time homebuyers, and renters.",https://www.businessinsider.com/housing-affordability-supply-impact-presidential-election-scenarios-homebuyers-harris-trump-2024-10,Policy and Governance,Neutral
477,Al Jazeera English,,Where did Joe Biden fail?,The outgoing US president is widely said to have achieved too little or nothing.,https://www.aljazeera.com/program/inside-story/2024/11/9/where-did-joe-biden-fail,Policy and Governance,Neutral
479,Al Jazeera English,Al Jazeera,Harris teases court reform but offers few details in Pennsylvania town hall,Democratic lawmakers have been slow to embrace calls for reform amid flagging public trust in highest judicial body.,https://www.aljazeera.com/news/2024/10/24/harris-teases-court-reform-but-offers-few-details-in-pennsylvania-town-hall,Policy and Governance,Negative
485,ABC News,Meredith Deliso,What Trump has said he would do on Day 1 back in the White House,"Former President Donald Trump's pledges have included issues involving his ongoing federal cases, as well as the border and immigration.",https://abcnews.go.com/Politics/trump-day-1-white-house/story?id=115315888,Policy and Governance,Neutral
